Configuration Field Inputs,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Analog-1 Name(upto 16-char),Analog-1 Type(rms/pow/peak),Analog-1 ANNMR(scaling),Analog-2 Name(upto 16-char),Analog-2 Type(rms/pow/peak),Analog-2 ANNMR(scaling),Add similar for more Phasor & Analog channels,
Configuration Field Inputs,50,25,12,0,0,15,VBUS_1a,v,1,VBUS_1b,v,1,VBUS_1c,v,1,IBUS_1:BUS_51a,c,1,IBUS_1:BUS_51b,c,1,IBUS_1:BUS_51c,c,1,IBUS_1:BUS_21a,c,1,IBUS_1:BUS_21b,c,1,IBUS_1:BUS_21c,c,1,IBUS_1:BUS_22a,c,1,IBUS_1:BUS_22b,c,1,IBUS_1:BUS_22c,c,1,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Frequency,ROCOF,
Measurements Field Inputs,2021-6-11 16:47:51.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   50.000,    0.003,
,2021-6-11 16:47:51.040000, 1792.959,   15.532, 1792.952, -104.468, 1792.955,  135.532,   24.420, -173.059,   24.420,   66.941,   24.420,  -53.059,   12.210,    6.941,   12.210, -113.059,   12.210,  126.941,   12.210,    6.941,   12.210, -113.059,   12.210,  126.941,   50.000,    1.534,
,2021-6-11 16:47:51.080000,97567.479,   -1.998,97567.415, -121.998,97567.390,  118.002, 1328.844,  169.411, 1328.843,   49.411, 1328.842,  -70.589,  664.421,  -10.589,  664.421, -130.589,  664.421,  109.411,  664.421,  -10.589,  664.421, -130.589,  664.421,  109.411,   50.000,    0.002,
,2021-6-11 16:47:51.120000,133628.566,   -5.698,133628.564, -125.698,133628.561,  114.302, 1819.982,  165.712, 1819.982,   45.712, 1819.982,  -74.288,  909.990,  -14.288,  909.990, -134.288,  909.990,  105.712,  909.990,  -14.288,  909.990, -134.288,  909.990,  105.712,   50.000,    0.002,
,2021-6-11 16:47:51.160000,133628.580,   -5.697,133628.575, -125.697,133628.573,  114.303, 1819.977,  165.712, 1819.976,   45.712, 1819.977,  -74.288,  909.988,  -14.288,  909.988, -134.288,  909.988,  105.712,  909.988,  -14.288,  909.988, -134.288,  909.988,  105.712,   50.000,    0.003,
,2021-6-11 16:47:51.200000,133628.594,   -5.697,133628.586, -125.697,133628.583,  114.303, 1819.972,  165.712, 1819.971,   45.712, 1819.972,  -74.288,  909.985,  -14.288,  909.985, -134.288,  909.985,  105.712,  909.985,  -14.288,  909.985, -134.288,  909.985,  105.712,   50.000,    0.003,
,2021-6-11 16:47:51.240000,133628.605,   -5.697,133628.596, -125.697,133628.592,  114.303, 1819.967,  165.712, 1819.967,   45.712, 1819.967,  -74.288,  909.983,  -14.288,  909.983, -134.288,  909.983,  105.712,  909.983,  -14.288,  909.983, -134.288,  909.983,  105.712,   50.000,    0.003,
,2021-6-11 16:47:51.280000,133628.615,   -5.697,133628.602, -125.697,133628.598,  114.303, 1819.965,  165.712, 1819.965,   45.712, 1819.965,  -74.288,  909.982,  -14.288,  909.982, -134.288,  909.982,  105.712,  909.982,  -14.288,  909.982, -134.288,  909.982,  105.712,   50.000,    0.004,
,2021-6-11 16:47:51.320000,133628.621,   -5.697,133628.606, -125.697,133628.601,  114.303, 1819.964,  165.712, 1819.964,   45.712, 1819.964,  -74.288,  909.981,  -14.288,  909.981, -134.288,  909.981,  105.712,  909.981,  -14.288,  909.981, -134.288,  909.981,  105.712,   50.000,    0.004,
,2021-6-11 16:47:51.360000,133628.623,   -5.697,133628.606, -125.697,133628.600,  114.303, 1819.965,  165.712, 1819.965,   45.712, 1819.965,  -74.288,  909.982,  -14.288,  909.982, -134.288,  909.982,  105.712,  909.982,  -14.288,  909.982, -134.288,  909.982,  105.712,   50.000,    0.003,
