Configuration Field Inputs,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Analog-1 Name(upto 16-char),Analog-1 Type(rms/pow/peak),Analog-1 ANNMR(scaling),Analog-2 Name(upto 16-char),Analog-2 Type(rms/pow/peak),Analog-2 ANNMR(scaling),Add similar for more Phasor & Analog channels,
Configuration Field Inputs,50,25,15,0,0,15,VBUS_12a,v,1,VBUS_12b,v,1,VBUS_12c,v,1,IBUS_12:BUS_131a,c,1,IBUS_12:BUS_131b,c,1,IBUS_12:BUS_131c,c,1,IBUS_12:BUS_132a,c,1,IBUS_12:BUS_132b,c,1,IBUS_12:BUS_132c,c,1,IBUS_12:BUS_111a,c,1,IBUS_12:BUS_111b,c,1,IBUS_12:BUS_111c,c,1,IBUS_12:BUS_112a,c,1,IBUS_12:BUS_112b,c,1,IBUS_12:BUS_112c,c,1,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Frequency,ROCOF,
Measurements Field Inputs,2021-6-11 16:47:51.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   50.000,    0.003,
,2021-6-11 16:47:51.040000, 1750.300,   -3.008, 1750.295, -123.008, 1750.293,  116.992,   24.389,   -7.544,   24.389, -127.545,   24.389,  112.456,   24.389,   -7.544,   24.389, -127.545,   24.389,  112.456,   12.141,  178.992,   12.141,   58.992,   12.141,  -61.008,   12.141,  178.992,   12.141,   58.992,   12.141,  -61.008,   50.000,    1.535,
,2021-6-11 16:47:51.080000,95246.046,  -20.538,95246.034, -140.538,95245.960,   99.462, 1327.193,  -25.075, 1327.193, -145.075, 1327.192,   94.925, 1327.193,  -25.075, 1327.193, -145.075, 1327.192,   94.925,  660.694,  161.462,  660.694,   41.462,  660.694,  -78.538,  660.694,  161.462,  660.694,   41.462,  660.694,  -78.538,   50.000,    0.003,
,2021-6-11 16:47:51.120000,130449.148,  -24.237,130449.146, -144.237,130449.138,   95.763, 1817.726,  -28.774, 1817.726, -148.774, 1817.726,   91.226, 1817.726,  -28.774, 1817.726, -148.774, 1817.726,   91.226,  904.886,  157.763,  904.886,   37.763,  904.886,  -82.237,  904.886,  157.763,  904.886,   37.763,  904.886,  -82.237,   50.000,    0.003,
,2021-6-11 16:47:51.160000,130449.155,  -24.237,130449.153, -144.237,130449.144,   95.763, 1817.726,  -28.774, 1817.726, -148.774, 1817.726,   91.226, 1817.726,  -28.774, 1817.726, -148.774, 1817.726,   91.226,  904.884,  157.763,  904.884,   37.763,  904.884,  -82.237,  904.884,  157.763,  904.884,   37.763,  904.884,  -82.237,   50.000,    0.002,
,2021-6-11 16:47:51.200000,130449.164,  -24.237,130449.161, -144.237,130449.151,   95.763, 1817.726,  -28.774, 1817.726, -148.774, 1817.726,   91.226, 1817.726,  -28.774, 1817.726, -148.774, 1817.726,   91.226,  904.882,  157.763,  904.882,   37.763,  904.882,  -82.237,  904.882,  157.763,  904.882,   37.763,  904.882,  -82.237,   50.000,    0.002,
,2021-6-11 16:47:51.240000,130449.169,  -24.237,130449.167, -144.237,130449.156,   95.763, 1817.726,  -28.773, 1817.726, -148.773, 1817.726,   91.227, 1817.726,  -28.773, 1817.726, -148.773, 1817.726,   91.227,  904.880,  157.763,  904.880,   37.763,  904.880,  -82.237,  904.880,  157.763,  904.880,   37.763,  904.880,  -82.237,   50.000,    0.002,
,2021-6-11 16:47:51.280000,130449.176,  -24.237,130449.173, -144.237,130449.161,   95.763, 1817.726,  -28.773, 1817.726, -148.773, 1817.726,   91.227, 1817.726,  -28.773, 1817.726, -148.773, 1817.726,   91.227,  904.878,  157.763,  904.878,   37.763,  904.878,  -82.237,  904.878,  157.763,  904.878,   37.763,  904.878,  -82.237,   50.000,    0.002,
,2021-6-11 16:47:51.320000,130449.181,  -24.237,130449.176, -144.237,130449.163,   95.763, 1817.726,  -28.773, 1817.726, -148.773, 1817.725,   91.227, 1817.726,  -28.773, 1817.726, -148.773, 1817.725,   91.227,  904.877,  157.763,  904.877,   37.763,  904.877,  -82.237,  904.877,  157.763,  904.877,   37.763,  904.877,  -82.237,   50.000,    0.002,
,2021-6-11 16:47:51.360000,130449.183,  -24.236,130449.177, -144.236,130449.163,   95.764, 1817.726,  -28.773, 1817.726, -148.773, 1817.725,   91.227, 1817.726,  -28.773, 1817.726, -148.773, 1817.725,   91.227,  904.877,  157.763,  904.877,   37.763,  904.877,  -82.237,  904.877,  157.763,  904.877,   37.763,  904.877,  -82.237,   50.000,    0.002,
