Configuration Field Inputs,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Analog-1 Name(upto 16-char),Analog-1 Type(rms/pow/peak),Analog-1 ANNMR(scaling),Analog-2 Name(upto 16-char),Analog-2 Type(rms/pow/peak),Analog-2 ANNMR(scaling),Add similar for more Phasor & Analog channels,
Configuration Field Inputs,50,25,15,0,0,15,VBUS_2a,v,1,VBUS_2b,v,1,VBUS_2c,v,1,IBUS_2:BUS_11a,c,1,IBUS_2:BUS_11b,c,1,IBUS_2:BUS_11c,c,1,IBUS_2:BUS_12a,c,1,IBUS_2:BUS_12b,c,1,IBUS_2:BUS_12c,c,1,IBUS_2:BUS_31a,c,1,IBUS_2:BUS_31b,c,1,IBUS_2:BUS_31c,c,1,IBUS_2:BUS_32a,c,1,IBUS_2:BUS_32b,c,1,IBUS_2:BUS_32c,c,1,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Frequency,ROCOF,
Measurements Field Inputs,2021-5-25 17:14:16.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   50.000,    0.003,
,2021-5-25 17:14:16.040000, 1738.076,    5.124, 1738.071, -114.876, 1738.070,  125.125,   12.227, -174.225,   12.227,   65.775,   12.227,  -54.225,   12.227, -174.225,   12.227,   65.775,   12.227,  -54.225,   26.031,   -1.336,   26.031, -121.336,   26.031,  118.664,   26.031,   -1.336,   26.031, -121.336,   26.031,  118.664,   50.000,    1.535,
,2021-5-25 17:14:16.080000,94580.887,  -12.406,94580.851, -132.406,94580.798,  107.594,  665.378,  168.245,  665.378,   48.245,  665.378,  -71.755,  665.378,  168.245,  665.378,   48.245,  665.378,  -71.755, 1416.533,  -18.866, 1416.533, -138.866, 1416.532,  101.134, 1416.533,  -18.866, 1416.533, -138.866, 1416.532,  101.134,   50.000,    0.003,
,2021-5-25 17:14:16.120000,129538.133,  -16.105,129538.129, -136.105,129538.125,  103.895,  911.301,  164.546,  911.301,   44.546,  911.301,  -75.454,  911.301,  164.546,  911.301,   44.546,  911.301,  -75.454, 1940.086,  -22.565, 1940.086, -142.565, 1940.086,   97.435, 1940.086,  -22.565, 1940.086, -142.565, 1940.086,   97.435,   50.000,    0.003,
,2021-5-25 17:14:16.160000,129538.141,  -16.105,129538.136, -136.105,129538.130,  103.895,  911.299,  164.546,  911.298,   44.546,  911.299,  -75.454,  911.299,  164.546,  911.298,   44.546,  911.299,  -75.454, 1940.086,  -22.565, 1940.086, -142.565, 1940.086,   97.435, 1940.086,  -22.565, 1940.086, -142.565, 1940.086,   97.435,   50.000,    0.002,
,2021-5-25 17:14:16.200000,129538.149,  -16.105,129538.143, -136.105,129538.134,  103.895,  911.296,  164.546,  911.296,   44.546,  911.296,  -75.454,  911.296,  164.546,  911.296,   44.546,  911.296,  -75.454, 1940.087,  -22.565, 1940.087, -142.565, 1940.086,   97.435, 1940.087,  -22.565, 1940.087, -142.565, 1940.086,   97.435,   50.000,    0.002,
,2021-5-25 17:14:16.240000,129538.155,  -16.104,129538.150, -136.104,129538.139,  103.896,  911.294,  164.546,  911.294,   44.546,  911.294,  -75.454,  911.294,  164.546,  911.294,   44.546,  911.294,  -75.454, 1940.087,  -22.565, 1940.087, -142.565, 1940.087,   97.435, 1940.087,  -22.565, 1940.087, -142.565, 1940.087,   97.435,   50.000,    0.002,
,2021-5-25 17:14:16.280000,129538.160,  -16.104,129538.153, -136.104,129538.142,  103.896,  911.293,  164.546,  911.293,   44.546,  911.293,  -75.454,  911.293,  164.546,  911.293,   44.546,  911.293,  -75.454, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436,   50.000,    0.002,
,2021-5-25 17:14:16.320000,129538.163,  -16.104,129538.153, -136.104,129538.143,  103.896,  911.292,  164.546,  911.292,   44.546,  911.292,  -75.454,  911.292,  164.546,  911.292,   44.546,  911.292,  -75.454, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436,   50.000,    0.002,
,2021-5-25 17:14:16.360000,129538.164,  -16.104,129538.154, -136.104,129538.143,  103.896,  911.293,  164.546,  911.293,   44.546,  911.293,  -75.454,  911.293,  164.546,  911.293,   44.546,  911.293,  -75.454, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436,   50.000,    0.002,
,2021-5-25 17:14:16.400000,129538.161,  -16.104,129538.151, -136.104,129538.140,  103.896,  911.294,  164.546,  911.294,   44.546,  911.294,  -75.454,  911.294,  164.546,  911.294,   44.546,  911.294,  -75.454, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436,   50.000,    0.002,
,2021-5-25 17:14:16.440000,129538.158,  -16.104,129538.149, -136.104,129538.135,  103.896,  911.297,  164.546,  911.297,   44.546,  911.296,  -75.454,  911.297,  164.546,  911.297,   44.546,  911.296,  -75.454, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436,   50.000,    0.002,
,2021-5-25 17:14:16.480000,129538.157,  -16.104,129538.144, -136.104,129538.130,  103.896,  911.299,  164.547,  911.299,   44.547,  911.299,  -75.453,  911.299,  164.547,  911.299,   44.547,  911.299,  -75.453, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436,   50.000,    0.003,
,2021-5-25 17:14:16.520000,129538.153,  -16.103,129538.140, -136.103,129538.124,  103.897,  911.301,  164.547,  911.301,   44.547,  911.301,  -75.453,  911.301,  164.547,  911.301,   44.547,  911.301,  -75.453, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436, 1940.087,  -22.564, 1940.087, -142.564, 1940.087,   97.436,   50.000,    0.003,
,2021-5-25 17:14:16.560000,129538.152,  -16.103,129538.137, -136.103,129538.122,  103.897,  911.303,  164.547,  911.303,   44.547,  911.303,  -75.453,  911.303,  164.547,  911.303,   44.547,  911.303,  -75.453, 1940.087,  -22.563, 1940.087, -142.563, 1940.087,   97.437, 1940.087,  -22.563, 1940.087, -142.563, 1940.087,   97.437,   50.000,    0.003,
,2021-5-25 17:14:16.600000,129538.152,  -16.103,129538.136, -136.103,129538.117,  103.897,  911.304,  164.547,  911.304,   44.547,  911.304,  -75.453,  911.304,  164.547,  911.304,   44.547,  911.304,  -75.453, 1940.088,  -22.563, 1940.087, -142.563, 1940.087,   97.437, 1940.088,  -22.563, 1940.087, -142.563, 1940.087,   97.437,   50.000,    0.003,
