Configuration Field Inputs,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),Phasor-10 Name(upto 16-char),Phasor-10 Type(v/c),Phasor-10 PHNMR(scaling),Phasor-11 Name(upto 16-char),Phasor-11 Type(v/c),Phasor-11 PHNMR(scaling),Phasor-12 Name(upto 16-char),Phasor-12 Type(v/c),Phasor-12 PHNMR(scaling),Phasor-13 Name(upto 16-char),Phasor-13 Type(v/c),Phasor-13 PHNMR(scaling),Phasor-14 Name(upto 16-char),Phasor-14 Type(v/c),Phasor-14 PHNMR(scaling),Phasor-15 Name(upto 16-char),Phasor-15 Type(v/c),Phasor-15 PHNMR(scaling),Phasor-16 Name(upto 16-char),Phasor-16 Type(v/c),Phasor-16 PHNMR(scaling),Phasor-17 Name(upto 16-char),Phasor-17 Type(v/c),Phasor-17 PHNMR(scaling),Phasor-18 Name(upto 16-char),Phasor-18 Type(v/c),Phasor-18 PHNMR(scaling),Analog-1 Name(upto 16-char),Analog-1 Type(rms/pow/peak),Analog-1 ANNMR(scaling),Analog-2 Name(upto 16-char),Analog-2 Type(rms/pow/peak),Analog-2 ANNMR(scaling),Add similar for more Phasor & Analog channels,
Configuration Field Inputs,50,25,18,0,0,15,VBUS_3a,v,1,VBUS_3b,v,1,VBUS_3c,v,1,IBUS_3:BUS_21a,c,1,IBUS_3:BUS_21b,c,1,IBUS_3:BUS_21c,c,1,IBUS_3:BUS_22a,c,1,IBUS_3:BUS_22b,c,1,IBUS_3:BUS_22c,c,1,IBUS_3:BUS_131a,c,1,IBUS_3:BUS_131b,c,1,IBUS_3:BUS_131c,c,1,IBUS_3:BUS_132a,c,1,IBUS_3:BUS_132b,c,1,IBUS_3:BUS_132c,c,1,IBUS_3:BUS_133a,c,1,IBUS_3:BUS_133b,c,1,IBUS_3:BUS_133c,c,1,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Phasor-10 Magnitude,Phasor-10 Angle,Phasor-11 Magnitude,Phasor-11 Angle,Phasor-12 Magnitude,Phasor-12 Angle,Phasor-13 Magnitude,Phasor-13 Angle,Phasor-14 Magnitude,Phasor-14 Angle,Phasor-15 Magnitude,Phasor-15 Angle,Phasor-16 Magnitude,Phasor-16 Angle,Phasor-17 Magnitude,Phasor-17 Angle,Phasor-18 Magnitude,Phasor-18 Angle,Frequency,ROCOF,
Measurements Field Inputs,2021-5-25 17:14:16.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   50.000,    0.003,
,2021-5-25 17:14:16.040000, 1700.836,   -4.026, 1700.832, -124.026, 1700.829,  115.974,   26.035,  178.451,   26.034,   58.450,   26.034,  -61.549,   26.035,  178.451,   26.034,   58.450,   26.034,  -61.549,    2.084,   18.127,    2.084, -101.873,    2.084,  138.128,    2.084,   18.112,    2.084, -101.888,    2.084,  138.112,    2.084,   18.112,    2.084, -101.888,    2.084,  138.112,   50.000,    1.534,
,2021-5-25 17:14:16.080000,92554.377,  -21.556,92554.369, -141.556,92554.295,   98.444, 1416.721,  160.921, 1416.721,   40.920, 1416.720,  -79.080, 1416.721,  160.921, 1416.721,   40.920, 1416.720,  -79.080,  113.419,    0.597,  113.419, -119.403,  113.419,  120.597,  113.420,    0.582,  113.419, -119.418,  113.419,  120.582,  113.420,    0.582,  113.419, -119.418,  113.419,  120.582,   50.000,    0.003,
,2021-5-25 17:14:16.120000,126762.635,  -25.255,126762.634, -145.255,126762.626,   94.745, 1940.344,  157.221, 1940.344,   37.221, 1940.343,  -82.779, 1940.344,  157.221, 1940.344,   37.221, 1940.343,  -82.779,  155.339,   -3.102,  155.339, -123.102,  155.339,  116.898,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,   50.000,    0.003,
,2021-5-25 17:14:16.160000,126762.642,  -25.255,126762.640, -145.255,126762.632,   94.745, 1940.344,  157.222, 1940.344,   37.222, 1940.344,  -82.778, 1940.344,  157.222, 1940.344,   37.222, 1940.344,  -82.778,  155.339,   -3.102,  155.339, -123.102,  155.339,  116.898,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,   50.000,    0.003,
,2021-5-25 17:14:16.200000,126762.649,  -25.255,126762.647, -145.255,126762.636,   94.745, 1940.344,  157.222, 1940.344,   37.222, 1940.344,  -82.778, 1940.344,  157.222, 1940.344,   37.222, 1940.344,  -82.778,  155.339,   -3.102,  155.339, -123.102,  155.339,  116.898,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,   50.000,    0.002,
,2021-5-25 17:14:16.240000,126762.654,  -25.255,126762.653, -145.255,126762.640,   94.745, 1940.344,  157.222, 1940.344,   37.222, 1940.344,  -82.778, 1940.344,  157.222, 1940.344,   37.222, 1940.344,  -82.778,  155.339,   -3.101,  155.339, -123.102,  155.339,  116.899,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,   50.000,    0.002,
,2021-5-25 17:14:16.280000,126762.660,  -25.255,126762.657, -145.255,126762.644,   94.745, 1940.345,  157.222, 1940.345,   37.222, 1940.344,  -82.778, 1940.345,  157.222, 1940.345,   37.222, 1940.344,  -82.778,  155.339,   -3.101,  155.339, -123.101,  155.339,  116.899,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,   50.000,    0.002,
,2021-5-25 17:14:16.320000,126762.661,  -25.255,126762.658, -145.255,126762.644,   94.745, 1940.345,  157.222, 1940.345,   37.222, 1940.344,  -82.778, 1940.345,  157.222, 1940.345,   37.222, 1940.344,  -82.778,  155.339,   -3.101,  155.339, -123.101,  155.339,  116.899,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,   50.000,    0.002,
,2021-5-25 17:14:16.360000,126762.662,  -25.255,126762.659, -145.255,126762.642,   94.745, 1940.345,  157.222, 1940.345,   37.222, 1940.344,  -82.778, 1940.345,  157.222, 1940.345,   37.222, 1940.344,  -82.778,  155.340,   -3.101,  155.339, -123.101,  155.339,  116.899,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,   50.000,    0.002,
,2021-5-25 17:14:16.400000,126762.659,  -25.254,126762.656, -145.254,126762.640,   94.746, 1940.345,  157.222, 1940.345,   37.222, 1940.344,  -82.778, 1940.345,  157.222, 1940.345,   37.222, 1940.344,  -82.778,  155.340,   -3.101,  155.340, -123.101,  155.340,  116.899,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,  155.340,   -3.117,  155.340, -123.117,  155.340,  116.883,   50.000,    0.002,
